Source Target Type Id Label Weight
45 15 Directed 2306  1.0
45 24 Directed 2307  2.0
45 34 Directed 2308  5.0
45 39 Directed 2309  1.0
45 40 Directed 2310  1.0
45 48 Directed 2311  1.0
45 92 Directed 2312  2.0
46 5 Directed 2313  2.0
46 13 Directed 2314  2.0
46 38 Directed 2315  3.0
46 49 Directed 2316  5.0
46 55 Directed 2317  3.0
46 71 Directed 2318  6.0
46 75 Directed 2319  4.0
46 77 Directed 2320  4.0
46 97 Directed 2321  2.0
46 108 Directed 2322  3.0
47 10 Directed 2323  4.0
47 16 Directed 2324  5.0
47 31 Directed 2325  4.0
47 85 Directed 2326  3.0
48 7 Directed 2327  2.0
48 24 Directed 2328  3.0
48 39 Directed 2329  1.0
48 40 Directed 2330  4.0
48 45 Directed 2331  1.0
48 92 Directed 2332  4.0
49 38 Directed 2333  4.0
49 46 Directed 2334  5.0
49 71 Directed 2335  2.0
49 100 Directed 2336  2.0
50 7 Directed 2337  2.0
50 34 Directed 2338  3.0
50 40 Directed 2339  3.0
50 45 Directed 2340  3.0
50 48 Directed 2341  2.0
50 52 Directed 2342  6.0
50 94 Directed 2343  6.0
51 11 Directed 2344  5.0
51 13 Directed 2345  1.0
51 43 Directed 2346  2.0
51 65 Directed 2347  3.0
51 82 Directed 2348  4.0
51 84 Directed 2349  1.0
51 106 Directed 2350  2.0
52 7 Directed 2351  1.0
52 24 Directed 2352  2.0
52 34 Directed 2353  1.0
52 40 Directed 2354  1.0
52 45 Directed 2355  1.0
52 70 Directed 2356  2.0
52 91 Directed 2357  2.0
52 94 Directed 2358  3.0
53 13 Directed 2359  1.0
53 35 Directed 2360  1.0
53 51 Directed 2361  3.0
53 56 Directed 2362  4.0
53 58 Directed 2363  4.0
53 110 Directed 2364  2.0
54 75 Directed 2365  3.0
55 10 Directed 2366  5.0
55 46 Directed 2367  2.0
55 75 Directed 2368  4.0
55 95 Directed 2369  5.0
56 2 Directed 2370  1.0
56 5 Directed 2371  1.0
56 13 Directed 2372  4.0
56 28 Directed 2373  1.0
56 44 Directed 2374  1.0
56 58 Directed 2375  3.0
56 75 Directed 2376  2.0
56 84 Directed 2377  2.0
56 91 Directed 2378  1.0
57 58 Directed 2379  4.0
57 96 Directed 2380  6.0
58 26 Directed 2381  3.0
58 35 Directed 2382  3.0
58 56 Directed 2383  5.0
58 61 Directed 2384  6.0
58 109 Directed 2385  2.0
59 26 Directed 2386  1.0
59 32 Directed 2387  1.0
59 41 Directed 2388  1.0
59 69 Directed 2389  1.0
59 79 Directed 2390  1.0
59 103 Directed 2391  1.0
61 26 Directed 2392  3.0
61 58 Directed 2393  4.0
62 29 Directed 2394  1.0
62 97 Directed 2395  4.0
62 104 Directed 2396  1.0
62 110 Directed 2397  6.0
63 11 Directed 2398  2.0
63 33 Directed 2399  2.0
63 51 Directed 2400  2.0
63 72 Directed 2401  1.0
63 82 Directed 2402  2.0
63 84 Directed 2403  2.0
63 87 Directed 2404  2.0
63 102 Directed 2405  2.0
63 111 Directed 2406  2.0
65 8 Directed 2407  2.0
65 46 Directed 2408  2.0
65 84 Directed 2409  3.0
65 95 Directed 2410  2.0
65 104 Directed 2411  2.0
66 9 Directed 2412  2.0
66 13 Directed 2413  2.0
66 38 Directed 2414  2.0
66 57 Directed 2415  2.0
66 65 Directed 2416  2.0
66 78 Directed 2417  2.0
66 88 Directed 2418  2.0
66 96 Directed 2419  2.0
66 104 Directed 2420  2.0
66 109 Directed 2421  2.0
68 21 Directed 2422  2.0
69 9 Directed 2423  2.0
69 32 Directed 2424  2.0
69 40 Directed 2425  3.0
69 72 Directed 2426  2.0
69 77 Directed 2427  1.0
69 79 Directed 2428  4.0
69 100 Directed 2429  1.0
69 106 Directed 2430  5.0
70 7 Directed 2431  1.0
70 15 Directed 2432  1.0
70 39 Directed 2433  1.0
70 40 Directed 2434  1.0
70 45 Directed 2435  1.0
70 52 Directed 2436  1.0
70 54 Directed 2437  2.0
70 92 Directed 2438  1.0
74 43 Directed 2439  4.0
74 63 Directed 2440  2.0
75 4 Directed 2441  3.0
75 13 Directed 2442  5.0
75 28 Directed 2443  2.0
75 97 Directed 2444  1.0
75 100 Directed 2445  3.0
75 104 Directed 2446  5.0
75 110 Directed 2447  2.0
76 36 Directed 2448  2.0
76 46 Directed 2449  2.0
76 58 Directed 2450  2.0
76 65 Directed 2451  2.0
76 81 Directed 2452  2.0
76 90 Directed 2453  2.0
78 51 Directed 2454  1.0
78 53 Directed 2455  5.0
78 56 Directed 2456  5.0
78 57 Directed 2457  3.0
78 58 Directed 2458  3.0
78 96 Directed 2459  3.0
78 108 Directed 2460  2.0
79 8 Directed 2461  1.0
79 26 Directed 2462  4.0
79 32 Directed 2463  2.0
79 69 Directed 2464  3.0
79 106 Directed 2465  4.0
80 36 Directed 2466  3.0
80 60 Directed 2467  2.0
81 8 Directed 2468  3.0
81 18 Directed 2469  4.0
81 49 Directed 2470  3.0
81 60 Directed 2471  3.0
81 77 Directed 2472  3.0
81 90 Directed 2473  3.0
83 44 Directed 2474  1.0
83 58 Directed 2475  1.0
83 73 Directed 2476  1.0
84 63 Directed 2477  2.0
84 72 Directed 2478  2.0
84 102 Directed 2479  3.0
86 7 Directed 2480  1.0
86 39 Directed 2481  1.0
86 40 Directed 2482  1.0
86 45 Directed 2483  1.0
86 48 Directed 2484  1.0
86 69 Directed 2485  1.0
86 92 Directed 2486  1.0
87 33 Directed 2487  3.0
87 72 Directed 2488  6.0
87 84 Directed 2489  2.0
87 102 Directed 2490  2.0
88 9 Directed 2491  4.0
88 13 Directed 2492  2.0
88 38 Directed 2493  3.0
88 93 Directed 2494  3.0
88 109 Directed 2495  4.0
89 7 Directed 2496  1.0
89 24 Directed 2497  3.0
89 40 Directed 2498  1.0
89 50 Directed 2499  4.0
89 52 Directed 2500  6.0
89 91 Directed 2501  5.0
89 92 Directed 2502  1.0
91 5 Directed 2503  6.0
91 48 Directed 2504  6.0
91 52 Directed 2505  6.0
91 56 Directed 2506  4.0
91 63 Directed 2507  5.0
91 73 Directed 2508  5.0
91 80 Directed 2509  6.0
91 84 Directed 2510  5.0
91 102 Directed 2511  4.0
92 7 Directed 2512  5.0
92 15 Directed 2513  2.0
92 24 Directed 2514  4.0
92 40 Directed 2515  6.0
92 45 Directed 2516  4.0
92 48 Directed 2517  6.0
94 24 Directed 2518  1.0
94 42 Directed 2519  2.0
94 50 Directed 2520  4.0
94 52 Directed 2521  2.0
95 65 Directed 2522  4.0
95 82 Directed 2523  3.0
95 90 Directed 2524  3.0
95 104 Directed 2525  3.0
96 57 Directed 2526  6.0
96 66 Directed 2527  1.0
96 78 Directed 2528  3.0
97 22 Directed 2529  1.0
97 110 Directed 2530  3.0
98 42 Directed 2531  6.0
99 32 Directed 2532  3.0
99 37 Directed 2533  3.0
99 41 Directed 2534  3.0
99 69 Directed 2535  3.0
99 79 Directed 2536  3.0
99 105 Directed 2537  1.0
99 106 Directed 2538  2.0
99 107 Directed 2539  4.0
101 7 Directed 2540  5.0
101 15 Directed 2541  3.0
101 39 Directed 2542  6.0
101 50 Directed 2543  2.0
101 83 Directed 2544  3.0
101 92 Directed 2545  3.0
103 42 Directed 2546  2.0
103 85 Directed 2547  4.0
103 98 Directed 2548  4.0
104 75 Directed 2549  4.0
105 3 Directed 2550  1.0
105 26 Directed 2551  1.0
105 32 Directed 2552  2.0
105 37 Directed 2553  1.0
105 41 Directed 2554  1.0
105 99 Directed 2555  1.0
105 103 Directed 2556  2.0
105 106 Directed 2557  1.0
106 7 Directed 2558  1.0
106 13 Directed 2559  3.0
106 24 Directed 2560  3.0
106 40 Directed 2561  1.0
106 69 Directed 2562  4.0
106 74 Directed 2563  5.0
106 111 Directed 2564  2.0
107 32 Directed 2565  2.0
107 41 Directed 2566  3.0
107 52 Directed 2567  3.0
107 69 Directed 2568  4.0
107 73 Directed 2569  6.0
107 74 Directed 2570  1.0
107 106 Directed 2571  5.0
109 26 Directed 2572  4.0
109 35 Directed 2573  3.0
109 41 Directed 2574  2.0
109 51 Directed 2575  2.0
109 58 Directed 2576  3.0
109 84 Directed 2577  5.0
109 106 Directed 2578  2.0
110 29 Directed 2579  5.0
110 60 Directed 2580  3.0
110 62 Directed 2581  5.0
110 80 Directed 2582  3.0
110 97 Directed 2583  6.0
